Iker Muniain,ESP,"MF,FW",31-139,18,3,470,5.2,1,0,1,1,0,0,1,0,1.5,1.5,0.3,1.7,15,35,43,0.19,0,0.19,0.19,0.19,0.28,0.05,0.33,0.28,0.33,2024,Athletic Club
Asier Villalibre,ESP,FW,26-219,14,2,353,3.9,1,1,2,1,0,0,0,0,0.9,0.9,0.9,1.9,6,9,25,0.25,0.25,0.51,0.25,0.51,0.24,0.24,0.48,0.24,0.48,2024,Athletic Club
Adu Ares,ESP,FW,22-207,10,1,189,2.1,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,8,3,32,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,2024,Athletic Club
Julen Agirrezabala,ESP,GK,23-132,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Athletic Club
Raúl García,ESP,"FW,MF",37-300,16,0,237,2.6,0,0,0,0,0,0,3,0,0.4,0.4,0,0.4,2,10,8,0,0,0,0,0,0.15,0,0.15,0.15,0.15,2024,Athletic Club
Mikel Jauregizar,ESP,MF,20-176,5,0,78,0.9,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,2024,Athletic Club
Peru Nolaskoain,ESP,"DF,MF",25-194,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Athletic Club
Unai Eguíluz,ESP,DF,22-048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Athletic Club
Javi Martón,ESP,FW,25-000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Athletic Club
Aingeru Olabarrieta,ESP,FW,18-174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Athletic Club
Alex Padilla,ESP,GK,20-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Athletic Club
Hugo Rincón,ESP,DF,21-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Athletic Club
Squad Total,,,28.1,33,374,3060,34,53,37,90,50,3,5,76,5,48.6,44.6,33.4,78,649,1441,1432,1.56,1.09,2.65,1.47,2.56,1.43,0.98,2.41,1.31,2.3,2024,Athletic Club
Opponent Total,,,27.7,33,374,3060,34,29,23,52,28,1,5,74,3,37.6,33.8,28.5,62.3,459,1163,1148,0.85,0.68,1.53,0.82,1.5,1.11,0.84,1.94,0.99,1.83,2024,Athletic Club
Álex Remiro,ESP,GK,29-043,33,33,2915,32.4,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,Real Sociedad
Martín Zubimendi,ESP,MF,25-094,31,29,2654,29.5,4,1,5,4,0,0,5,0,2.7,2.7,1.5,4.1,34,152,27,0.14,0.03,0.17,0.14,0.17,0.09,0.05,0.14,0.09,0.14,2024,Real Sociedad
Igor Zubeldia,ESP,DF,27-037,30,29,2518,28,0,2,2,0,0,0,11,1,0.8,0.8,1.1,1.9,28,129,0,0,0.07,0.07,0,0.07,0.03,0.04,0.07,0.03,0.07,2024,Real Sociedad
Robin Le Normand,ESP,DF,27-177,27,26,2289,25.4,2,0,2,2,0,0,13,0,1,1,0.1,1.1,21,101,1,0.08,0,0.08,0.08,0.08,0.04,0,0.04,0.04,0.04,2024,Real Sociedad
Mikel Merino,ESP,MF,27-319,29,24,2212,24.6,4,3,7,4,0,0,10,0,3.2,3.2,1.7,4.9,24,146,90,0.16,0.12,0.28,0.16,0.28,0.13,0.07,0.2,0.13,0.2,2024,Real Sociedad
Brais Méndez,ESP,"MF,FW",27-120,28,24,2139,23.8,4,6,10,4,0,0,6,0,3.7,3.7,4,7.7,40,109,115,0.17,0.25,0.42,0.17,0.42,0.16,0.17,0.32,0.16,0.32,2024,Real Sociedad
Hamari Traoré,MLI,DF,32-100,27,24,2033,22.6,0,2,2,0,0,0,6,0,0.5,0.5,1.3,1.9,46,121,73,0,0.09,0.09,0,0.09,0.02,0.06,0.08,0.02,0.08,2024,Real Sociedad
Takefusa Kubo,JPN,"FW,MF",22-337,27,22,1949,21.7,7,3,10,7,0,0,1,0,3.4,3.4,5.3,8.8,121,78,206,0.32,0.14,0.46,0.32,0.46,0.16,0.25,0.4,0.16,0.4,2024,Real Sociedad
Mikel Oyarzabal,ESP,"FW,MF",27-015,29,21,1937,21.5,9,2,11,7,2,2,2,0,8.8,7.3,1.6,8.9,26,35,111,0.42,0.09,0.51,0.33,0.42,0.41,0.07,0.49,0.34,0.41,2024,Real Sociedad
Ander Barrenetxea,ESP,"FW,MF",22-131,25,18,1265,14.1,4,1,5,4,0,0,1,0,3.4,3.4,1.1,4.5,53,34,145,0.28,0.07,0.36,0.28,0.36,0.24,0.08,0.32,0.24,0.32,2024,Real Sociedad
Beñat Turrientes,ESP,MF,22-096,25,15,1358,15.1,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,24,43,27,0,0.07,0.07,0,0.07,0.07,0.04,0.11,0.07,0.11,2024,Real Sociedad
Arsen Zakharyan,RUS,"MF,FW",20-346,25,13,1080,12,1,2,3,1,0,0,1,0,2.2,2.2,2,4.2,27,41,84,0.08,0.17,0.25,0.08,0.25,0.18,0.16,0.35,0.18,0.35,2024,Real Sociedad
Jon Pacheco,ESP,DF,23-119,19,12,1187,13.2,1,1,2,1,0,0,6,0,1.1,1.1,0.2,1.3,8,46,1,0.08,0.08,0.15,0.08,0.15,0.08,0.02,0.1,0.08,0.1,2024,Real Sociedad
Umar Sadiq,NGA,FW,27-094,26,12,1077,12,3,1,4,3,0,0,4,0,3.6,3.6,1.1,4.7,18,13,74,0.25,0.08,0.33,0.25,0.33,0.3,0.09,0.39,0.3,0.39,2024,Real Sociedad
Javi Galán,ESP,DF,29-169,13,12,985,10.9,0,1,1,0,0,0,3,0,0.1,0.1,0.7,0.8,44,43,67,0,0.09,0.09,0,0.09,0.01,0.06,0.08,0.01,0.08,2024,Real Sociedad
Aihen Muñoz,ESP,DF,26-264,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2,2.2,24,39,23,0,0.16,0.16,0,0.16,0.02,0.16,0.18,0.02,0.18,2024,Real Sociedad
Kieran Tierney,SCO,DF,26-336,16,11,989,11,0,2,2,0,0,0,1,0,0.2,0.2,0.6,0.8,20,61,34,0,0.18,0.18,0,0.18,0.02,0.05,0.07,0.02,0.07,2024,Real Sociedad
André Silva,POR,FW,28-182,17,8,646,7.2,2,0,2,1,1,1,1,0,2.3,1.5,0.3,1.8,4,7,37,0.28,0,0.28,0.14,0.14,0.32,0.04,0.37,0.21,0.26,2024,Real Sociedad
Sheraldo Becker,SUR,"FW,MF",29-087,11,5,510,5.7,2,2,4,2,0,0,0,0,1.1,1.1,1.8,2.9,21,7,67,0.35,0.35,0.71,0.35,0.71,0.19,0.32,0.51,0.19,0.51,2024,Real Sociedad
Carlos Fernández,ESP,FW,27-350,10,5,408,4.5,2,1,3,1,1,1,3,0,1.5,0.7,0.5,1.3,5,4,13,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,2024,Real Sociedad
Álvaro Odriozola,ESP,DF,28-144,7,5,307,3.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,7,5,9,0,0,0,0,0,0,0.05,0.05,0,0.05,2024,Real Sociedad
Aritz Elustondo,ESP,DF,30-039,12,4,542,6,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,4,20,2,0,0.17,0.17,0,0.17,0.03,0.07,0.1,0.03,0.1,2024,Real Sociedad
Jon Aramburu,VEN,DF,21-288,7,4,441,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,22,23,0,0,0,0,0,0.03,0,0.03,0.03,0.03,2024,Real Sociedad
Olasagasti,ESP,MF,23-264,12,2,313,3.5,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,5,12,10,0,0,0,0,0,0.23,0.09,0.32,0.23,0.32,2024,Real Sociedad
Urko González,ESP,MF,23-047,4,2,149,1.7,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,2024,Real Sociedad
Mohamed Ali Cho,FRA,"FW,MF",20-108,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18,2024,Real Sociedad
Unai Marrero,ESP,GK,22-210,2,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Real Sociedad
Jon Magunacelaya,ESP,"FW,MF",23-298,5,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,2,2,10,0,0,0,0,0,0.21,0.34,0.55,0.21,0.55,2024,Real Sociedad
Alex Sola,ESP,"DF,MF",24-332,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024,Real Sociedad
Alberto Dadie,ESP,MF,21-291,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Real Sociedad
Gaizka Ayesa,ESP,GK,23-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Bryan Fiabema,NOR,FW,21-080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Aitor Fraga,ESP,GK,21-058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Jon Karrikaburu,ESP,FW,21-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Pablo Marín,ESP,MF,20-308,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Jon Martin,ESP,DF,18-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Roberto Navarro,ESP,MF,22-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Diego Rico,ESP,DF,31-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Iñaki Rupérez,ESP,DF,21-120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Real Sociedad
Squad Total,,,26.6,33,374,3060,34,45,34,79,41,4,4,88,2,41.9,38.8,28.5,67.2,627,1281,1269,1.32,1,2.32,1.21,2.21,1.23,0.84,2.07,1.14,1.98,2024,Real Sociedad
Opponent Total,,,28,33,374,3060,34,34,21,55,29,5,5,88,5,34.4,30.7,20.8,51.5,345,803,795,1,0.62,1.62,0.85,1.47,1.01,0.61,1.63,0.9,1.51,2024,Real Sociedad
Germán Pezzella,ARG,DF,32-314,32,32,2767,30.7,1,0,1,1,0,0,7,0,2,2,0.3,2.3,5,64,1,0.03,0,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08,2024,Real Betis
Isco,ESP,MF,32-015,27,26,2198,24.4,7,4,11,5,2,2,10,0,8.1,6.5,6.3,12.8,96,206,136,0.29,0.16,0.45,0.2,0.37,0.33,0.26,0.59,0.27,0.52,2024,Real Betis
Rui Silva,POR,GK,30-089,25,25,2205,24.5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024,Real Betis
Ayoze Pérez,ESP,FW,30-282,27,25,1950,21.7,7,1,8,7,0,0,4,0,6.3,6.3,3.1,9.4,74,61,146,0.32,0.05,0.37,0.32,0.37,0.29,0.14,0.43,0.29,0.43,2024,Real Betis
Marc Roca,ESP,MF,27-162,24,22,1816,20.2,2,2,4,2,0,0,5,0,1.1,1.1,1.3,2.5,24,119,19,0.1,0.1,0.2,0.1,0.2,0.06,0.06,0.12,0.06,0.12,2024,Real Betis
Willian José,BRA,FW,32-165,30,22,1774,19.7,10,4,14,10,0,0,0,1,5.5,5.5,2.3,7.8,7,29,79,0.51,0.2,0.71,0.51,0.71,0.28,0.12,0.39,0.28,0.39,2024,Real Betis
Chadi Riad,MAR,DF,20-324,23,21,1894,21,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,1,28,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,2024,Real Betis
Guido Rodríguez,ARG,MF,30-024,22,20,1737,19.3,2,0,2,2,0,0,6,0,0.7,0.7,0.7,1.4,8,61,18,0.1,0,0.1,0.1,0.1,0.03,0.04,0.07,0.03,0.07,2024,Real Betis
Héctor Bellerín,ESP,DF,29-048,20,19,1545,17.2,0,1,1,0,0,0,0,1,0,0,1.4,1.4,32,76,75,0,0.06,0.06,0,0.06,0,0.08,0.08,0,0.08,2024,Real Betis
Juan Miranda,ESP,DF,24-108,22,18,1595,17.7,1,1,2,1,0,0,7,0,1.5,1.5,1.6,3.1,29,85,75,0.06,0.06,0.11,0.06,0.11,0.08,0.09,0.17,0.08,0.17,2024,Real Betis
Abner,BRA,DF,23-345,21,14,1303,14.5,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,14,31,57,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,2024,Real Betis
Assane Diao,ESP,FW,18-242,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101,0.17,0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,2024,Real Betis
Johnny Cardoso,USA,MF,22-229,13,12,1018,11.3,1,2,3,1,0,0,3,0,0.9,0.9,0.4,1.3,8,37,9,0.09,0.18,0.27,0.09,0.27,0.08,0.04,0.12,0.08,0.12,2024,Real Betis
Pablo Fornals,ESP,"FW,MF",28-074,12,11,946,10.5,2,2,4,2,0,0,2,0,1.5,1.5,1.6,3.1,32,73,72,0.19,0.19,0.38,0.19,0.38,0.15,0.15,0.3,0.15,0.3,2024,Real Betis
