id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
1,Aleix García,es ESP,MF,26-313,33,33,2911.0,32.3,3.0,6.0,9.0,3.0,0.0,0.0,4.0,1.0,1.6,1.6,5.0,6.6,47.0,247.0,42.0,0.09,0.19,0.28,0.09,0.28,0.05,0.15,0.2,0.05,0.2,Matches,2024,Girona
2,Miguel Gutiérrez,es ESP,DF,22-284,32,32,2836.0,31.5,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,6.5,9.0,72.0,131.0,161.0,0.06,0.19,0.25,0.06,0.25,0.08,0.21,0.29,0.08,0.29,Matches,2024,Girona
3,Sávio,br BRA,"MF,FW",20-026,33,32,2689.0,29.9,8.0,9.0,17.0,8.0,0.0,0.0,5.0,0.0,4.6,4.6,6.5,11.0,153.0,80.0,311.0,0.27,0.3,0.57,0.27,0.57,0.15,0.22,0.37,0.15,0.37,Matches,2024,Girona
4,Daley Blind,nl NED,DF,34-058,30,29,2612.0,29.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,1.1,2.7,40.0,176.0,19.0,0.03,0.07,0.1,0.03,0.1,0.05,0.04,0.09,0.05,0.09,Matches,2024,Girona
5,Iván Martín,es ESP,MF,25-082,32,29,2387.0,26.5,5.0,3.0,8.0,5.0,0.0,0.0,5.0,0.0,2.6,2.6,2.2,4.8,65.0,114.0,90.0,0.19,0.11,0.3,0.19,0.3,0.1,0.08,0.18,0.1,0.18,Matches,2024,Girona
6,Artem Dovbyk,ua UKR,FW,26-320,32,28,2239.0,24.9,20.0,6.0,26.0,15.0,5.0,6.0,2.0,0.0,19.6,14.9,4.6,19.5,15.0,21.0,95.0,0.8,0.24,1.05,0.6,0.84,0.79,0.18,0.97,0.6,0.78,Matches,2024,Girona
7,Eric García,es ESP,DF,23-118,26,26,2300.0,25.6,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.3,2.3,0.5,2.8,41.0,183.0,12.0,0.12,0.0,0.12,0.12,0.12,0.09,0.02,0.11,0.09,0.11,Matches,2024,Girona
8,Yan Couto,br BRA,"DF,FW",21-338,32,24,2172.0,24.1,1.0,8.0,9.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,4.2,5.7,145.0,94.0,228.0,0.04,0.33,0.37,0.04,0.37,0.06,0.17,0.24,0.06,0.24,Matches,2024,Girona
9,Yangel Herrera,ve VEN,MF,26-113,25,23,1821.0,20.2,4.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,4.4,4.4,2.2,6.6,24.0,83.0,62.0,0.2,0.0,0.2,0.2,0.2,0.22,0.11,0.33,0.22,0.33,Matches,2024,Girona
10,Viktor Tsyhankov,ua UKR,"MF,FW",26-173,26,22,1776.0,19.7,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,4.9,4.9,4.8,9.7,53.0,66.0,169.0,0.3,0.2,0.51,0.3,0.51,0.25,0.24,0.49,0.25,0.49,Matches,2024,Girona
11,David López,es ESP,DF,34-210,22,22,1736.0,19.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.6,1.4,0.2,1.7,12.0,45.0,1.0,0.16,0.0,0.16,0.16,0.16,0.08,0.01,0.1,0.07,0.09,Matches,2024,Girona
12,Arnau Martinez,es ESP,DF,21-011,18,12,1035.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.4,1.6,26.0,53.0,14.0,0.0,0.17,0.17,0.0,0.17,0.02,0.12,0.14,0.02,0.14,Matches,2024,Girona
13,Portu,es ESP,"MF,FW",31-351,29,9,1042.0,11.6,7.0,5.0,12.0,7.0,0.0,0.0,2.0,0.0,3.3,3.3,3.5,6.7,29.0,29.0,85.0,0.6,0.43,1.04,0.6,1.04,0.28,0.3,0.58,0.28,0.58,Matches,2024,Girona
14,Juanpe,es ESP,DF,33-006,15,6,691.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2024,Girona
15,Cristhian Stuani,uy URU,FW,37-207,29,5,757.0,8.4,8.0,2.0,10.0,8.0,0.0,0.0,6.0,0.0,8.5,8.5,1.3,9.8,3.0,4.0,23.0,0.95,0.24,1.19,0.95,1.19,1.01,0.16,1.17,1.01,1.17,Matches,2024,Girona
